GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
api-giret-historical-resource,com.giret.apihistorical.resource.controller,HistoricalResourceController,0,22,0,0,0,5,0,4,0,4
api-giret-historical-resource,com.giret.apihistorical.resource,ApiHistoricalResourcesApplication,5,3,0,0,2,1,1,1,1,1
api-giret-historical-resource,com.giret.apihistorical.resource.service,HistoricalResourceServiceImpl,0,27,0,0,0,6,0,5,0,5
